и, and
непреме́нно, certainly
объединить, combine
подозревать, to suspect
рели́гия, religion
ры́жий, red
спра́виться, to cope
съеда́ть, eat
текущий, current
вести́сь, be
мо́лодость, youth
отнести́, include
различие, the difference
упомянуть, to mention
ядерный, nuclear
вклад, contribution
карье́ра, career
кла́дбище, cemetery
облако, cloud
обыкновенный, ordinary
гонка, race
отдыхать, relax
отчего́, why
проверять, check
рукав, sleeve
сокращение, reduction
туман, fog
шофер, driver
банди́т, bandit
вра́ть, to lie
подлинный, genuine
чемодан, suitcase
атака, attack
вынужденный, forced
зарабо́тать, earn
превращаться, developing
роза, rose
указ, the decree
восстановление, recovery
грубый, rough
сложность, the complexity
создава́ться, created
игрок, player
плыть, sail
побыва́ть, visit
построение, building
продолжение, continued
сканда́л, scandal
труп, the corpse
кое-что, something
металлический, metal
происхождение, origin
путешествие, the journey
справедливость, justice
тонна, ton
абсолютный, absolute
гарантия, warranty
мгновенно, instantly
вождь, the leader
месторождение, field
мина, Mina
о́рден, order
пластинка, vinyl
рассма́триваться, be considered
уважа́ть, respect
выскочить, jump
крестья́нин, farmer
образова́ться, to form
проговори́ть, speak
хранить, store
ю́ноша, the young man
бабка, grandma
вызов, call
изда́тельство, publisher
существенно, significantly
интеллектуальный, intellectual
полка, regiment
статистический, statistical
шесто́й, sixth
дитя́, child
необычный, unusual
обрадоваться, rejoice
покупка, buying
пропустить, skip
ровно, exactly
танцева́ть, dance
бровь, eyebrow
доверие, trust
дожда́ться, wait
избира́ть, to elect
колонна, column
неда́вний, recent
падение, fall
рекла́мный, advertising
стратегия, strategy
бое́ц, fighter
завести́, make
захвати́ть, grab
огляну́ться, look
описывать, describe
сунуть, to put
интерне́т, Internet
исчезать, disappear
разделить, divide
складываться, be
ведение, maintenance
тарелка, plate
удача, good luck
де́ятель, figure
иначе, otherwise
после́довать, to follow
служебный, service
выстрел, shot
отражать, to reflect
полгода, six months
куртка, jacket
письменный, written
приближаться, closer
флот, fleet
бытие́, Genesis
вступа́ть, to join
единство, unity
италья́нский, Italian
надоеда́ть, bored
оператор, the operator
половой, sex
физика, physics
интересова́ться, interested
мышление, thinking
подлежа́ть, subject
приход, parish
произносить, to say
раскрыть, to disclose
тве́рдо, firmly
шеф, chef
арестовать, arrest
глухой, deaf
одиночество, loneliness
предварительный, preliminary
целова́ть, kiss
чече́нский, Chechen
экологический, environmental
длительный, long
кой, coy
ора́ть, yell
отвести, take
тяну́ться, to reach
шапка, hat
достава́ться, get
ложка, spoon
подпись, signature
полага́ться, to rely
страховой, insurance
актри́са, actress
внутри, inside
всеобщий, universal
демократи́ческий, democratic
когда́-нибудь, ever
колхо́з, the farm
куча, heap
открыва́ться, open
прогноз, forecast
сохранять, save
цивилиза́ция, civilization
белок, protein
вернее, rather
воспо́льзоваться, use
заметно, significantly
кот, cat
остановка, stop
плато́к, scarf
ра́достно, happily
ага́, yeah
ло́коть, elbow
махну́ть, wave
методика, methodology
мука, flour
яйцо, egg
голод, hunger
душе́вный, mental
жалоба, the complaint
концентрация, concentration
музыка́нт, musician
нигде́, nowhere
охота, hunting
приобретать, buy
сложи́ть, fold
вска́кивать, jump
выражать, to Express
по́весть, the story
пона́добиться, need
глу́пость, stupidity
карто́шка, potatoes
переулок, lane
печа́льный, sad
погляде́ть, look
сде́латься, to become
домик, house
замуж, married
исполни́тель, the contractor
поинтересова́ться, ask
страда́ние, suffering
ветка, branch
заказчик, the customer
лапа, paw
пенсио́нный, pension
признава́ться, to admit
свяще́нник, the priest
восприятие, perception
выска́зываться, to Express
дважды, twice
заведение, institution
лека́рство, medicine
мелочь, detail
объективный, objective
пища, food
сва́дьба, wedding
ложиться, go
подушка, pillow
проявить, to show
справка, help
спусти́ться, down
теоретический, theoretical
тьма, darkness
юг, South
башня, tower
влиять, influence
довести, bring
нету, nope
обвинение, the prosecution
соль, salt
тариф, rate
умение, the ability
содержа́ться, to contain
агент, agent
ге́ний, genius
и́ск, the claim
ле́кция, lecture
мора́льный, moral
нагрузка, load
намерение, the intention
подтверждать, to confirm
хранение, storage
боти́нок, shoes
защити́ть, to protect
инвестицио́нный, investment
испо́лнить, to fulfill
подвиг, feat
воскресе́нье, Sunday
чей-то, someone
заплатить, to pay
земельный, land
молоде́ц, well done
управлять, to manage
авиация, aviation
дневник, diary
летчик, pilot
невероятный, incredible
одеяло, blanket
спрятать, hide
вертолет, helicopter
впра́ве, right
законодательный, legislative
привлекать, to attract
приговор, the sentence
протяжение, during
вече́рний, evening
внук, grandson
идеальный, perfect
исследовать, explore
непосредственный, direct
президе́нтский, presidential
сочетание, the combination of
столи́чный, capital
хозяйственный, economic
баня, bath
демокра́тия, democracy
нанести́, apply
пригото́вить, cook
прыгать, jump
во́время, time
диало́г, dialogue
сла́дкий, sweet
водный, water
вынудить, to force
гриб, mushroom
пояснить, to clarify
расширение, extension
волнение, excitement
доступный, available
контролировать, control
поли́ция, police
применя́ться, to apply
руководить, guide
стро́иться, built
бога́тство, wealth
измерение, measurement
отча́яние, despair
пиджа́к, jacket
рассчита́ть, to calculate
сахар, sugar
столе́тие, century
уважа́емый, dear
цирк, circus
шути́ть, joke
банковский, banking
бла́го, good
моли́ться, pray
по́льзование, use
точность, accuracy
коллекция, collection
манера, manner
полчаса, half an hour
сперва́, first
цветной, color
цех, shop
бума́жка, paper
восстановить, to restore
вынуть, remove
жилой, residential
подъем, the rise
свида́ние, date
смесь, the mixture
страхование, insurance
импе́рия, Empire
краса́вица, beauty
операти́вный, online
отде́льно, separately
христиа́нский, Christian
разнообразный, a variety of
разум, mind
те́сный, close
блестящий, brilliant
го́рдость, pride
динамика, dynamics
дон, don
жесто́кий, ill
плотный, dense
рисовать, to draw
четкий, clear
ох, Oh
подро́бно, detail
публи́чный, public
рекомендова́ть, recommend
седьмо́й, seventh
студия, Studio
две́сти, two hundred
плита, stove
пояс, belt
принима́ться, be taken
суббо́та, Saturday
аэропорт, airport
брю́ки, pants
наста́ивать, to insist
рукопись, manuscript
авторитет, authority
граф, count
дорожка, track
иссле́дователь, researcher
исто́рик, historian
исходный, source
кафе́, cafe
по-ви́димому, apparently
придавать, to give
социалисти́ческий, socialist
тренер, coach
гля́нуть, look
доставить, to deliver
замереть, freeze
мышь, mouse
ока́зывать, to provide
окружение, environment
замечание, note
замысел, the idea
мо́дный, fashion
мышца, muscle
продавец, sold
ровный, smooth
нра́вственный, moral
планировать, plan
своеобразный, original
соотношение, the ratio
успешный, successful
благородный, noble
ве́чно, forever
карточка, card
осуществить, to carry out
отозва́ться, to respond
разбить, split
разойтись, to disperse
свяще́нный, sacred
фабрика, factory
явный, explicit
ми́мо, by
перенести, transfer
понача́лу, at first
посол, Ambassador
суровый, severe
существующий, existing
бледный, pale
всерьез, seriously
испытать, experience
катастрофа, disaster
пачка, tutu
столовая, dining room
у́жин, dinner
установление, establishing
закрывать, close
ока́нчивать, to finish
оценивать, to evaluate
училище, College
шоссе, highway
акционер, shareholder
городок, town
картинка, picture
леге́нда, legend
ленингра́дский, Leningrad
соображение, consideration
сообщество, community
ико́на, icon
конья́к, brandy
посети́тель, visitor
собесе́дник, interlocutor
удиви́тельно, surprisingly
волк, wolf
сопротивление, resistance
сро́чно, urgently
халат, Bathrobe
вуз, University
жанр, genre
идеал, ideal
ключево́й, key
непло́хо, well
поправка, amendment
ю́ность, youth
боже́ственный, divine
лента, tape
нарушить, to break
ощутить, feel
частица, particle
бомба, bomb
компози́тор, composer
крыльцо, porch
научи́ть, to teach
пацие́нт, the patient
сок, juice
сопровождать, to accompany
тяжесть, the severity
штамм, strain
замена, replacement
искусственный, artificial
кусочек, the piece
наме́рен, going
одна́ко, however,
победи́тель, the winner
прие́зд, visit
пробовать, try
стучать, knock
сумасше́дший, crazy
устойчивый, sustainable
экспедиция, expedition
аспект, aspect
вчера́шний, yesterday
е́ле, barely
интеллиге́нция, intellectuals
коммунисти́ческий, Communist
независимо, independently
окончательный, final
противоречие, the contradiction
взаимный, mutual
вое́нный, military
выставить, set
напечатать, print
престу́пник, the offender
прикрыва́ть, cover
пуска́ть, let
развитой, developed
сия́ть, Shine
строение, structure
ущерб, damage
дели́ться, share
идеоло́гия, ideology
подро́сток, teen
правление, the Board
прожива́ть, to live
чемпио́н, champion
архив, archive
вслух, aloud
дискуссия, discussion
изобразить, to portray
изучить, study
мя́гко, gently
немно́жко, a little
освобождение, release
подвести, to sum
призыва́ть, call
производиться, be
самостоя́тельно, independently
сооружение, construction
достигать, to achieve
ка́чественный, quality
копе́йка, penny
ко́ротко, briefly
допускать, to prevent
нерв, nerve
посылать, send
прили́чный, decent
раствор, the solution
туалет, toilet
утратить, to lose
хор, chorus
анекдо́т, joke
захотеться, want
класть, to put
несомне́нно, undoubtedly
слы́шно, heard
сырье, raw materials
ца́рский, Royal
численность, the number
штаны́, pants
возразить, to argue
грозить, to face
железнодорожный, train
изо, from
и́скренно, sincerely
пленка, film
подобрать, to find
пребывание, stay
репети́ция, rehearsal
образовывать, to form
отражение, reflection
предполага́ться, assumed
проявлять, to show
серебряный, silver
удовлетворе́ние, satisfaction
устанавливать, to install
экипаж, the crew
актуа́льный, current
води́ть, led
награда, award
непоня́тно, it is not clear
похо́д, hike
сплошной, solid
выдающийся, outstanding
помолча́ть, silence
украи́нский, Ukrainian
худо́й, thin
газовый, gas
иностра́нец, foreigner
мо́рда, muzzle
перо, pen
претензия, the claim
разумный, reasonable
россиянин, Russian
должностно́й, official
постоя́ть, stand
про́за, prose
сдавать, pass
справа, right
четверть, quarter
архитектура, architecture
демонстрировать, to demonstrate
любопы́тство, curiosity
маска, mask
о́пера, Opera
посиде́ть, sit
распространить, distribute
спуска́ться, down
благода́рность, thanks
великоле́пный, gorgeous
го́спиталь, hospital
догадываться, guess
изображать, to portray
исключительно, exclusively
маршрут, route
незаме́тно, quietly
сержа́нт, Sergeant
точно, exactly
шля́па, hat
экземпляр, instance
белье, linen
бродить, wander
ведро, bucket
возникновение, appearance
мастерская, workshop
невидимый, invisible
нормативный, regulatory
офис, office
поло́женный, put
по-настоя́щему, truly
седо́й, gray
слабость, weakness
ссылка, link
хо́лодно, cold
автомобильный, car
быт, life
лампа, lamp
опираться, to rely
посоветовать, advise
разгля́дывать, to examine
толк, good
уби́йца, killer
фанта́зия, fantasy
вселе́нная, the universe
де, de
задержать, delay
люби́тель, Amateur
малы́ш, baby
нарисовать, draw
одеть, dress
повышенный, increased
призы́в, call
располагаться, to be
справедливый, fair
бесе́довать, talk
гигантский, giant
заболе́ть, ill
конституцио́нный, constitutional
облик, look
подземный, underground
превратить, to turn
преподаватель, teacher
сайт, website
сле́ва, left
горизонт, horizon
давний, long
диви́зия, division
доверя́ть, trust
изба́, hut
копия, copy
налива́ть, pour
небесный, heavenly
отдохнуть, relax
покача́ть, shake
регулирование, regulation
течь, flow
вплоть, up
гна́ть, drive
натура, nature
нефтяной, oil
обусло́вливать, to determine
голо́дный, hungry
доступ, access
законопроект, bill
избирательный, election
компью́терный, computer
подвал, basement
порт, port
связывать, link
у́голь, coal
удивля́ть, surprise
укрепление, strengthening
устав, Charter
философский, philosophical
бассейн, pool
биться, beat
двойной, double
здорово, cool
инста́нция, authority
медве́дь, bear
ны́нче, now
отъезд, departure
процессуа́льный, procedural
тотчас, immediately
архитектор, architect
бра́ться, take
космос, space
меч, sword
охра́нник, guard
приседа́ть, Crouch
психи́ческий, mental
судно, ship
тра́тить, to spend
чашка, Cup
разрушить, destroy
волнова́ть, to excite
воображе́ние, imagination
квартал, quarter
ку́рица, chicken
нево́льно, involuntarily
окружи́ть, surround
плавать, swim
преобразование, conversion
развивать, to develop
спаса́ть, save
топливо, fuel
эли́та, elite
ветвь, branch
ви́деться, to see
возглавлять, to lead
глобальный, global
деви́ца, girl
инвестор, investor
инструкция, instruction
кнопка, button
обяза́ть, to oblige
по́льский, Polish
потенциальный, potential
почта, mail
ю́мор, humor
внача́ле, first
горди́ться, be proud of
доказывать, to prove
палка, stick
проявляться, manifest
пустота, void
сообразить, to think
фонарь, lantern
заказать, to order
коллективный, collective
нарко́тик, drug
премье́р, Prime
трогать, touch
акти́в, asset
завершить, complete
пользователь, the user
посреди, in the midst of
соревнова́ние, competition
столб, post
францу́з, the Frenchman
холм, hill
аккура́тно, gently
большеви́к, Bolshevik
вдвоем, together
отменить, to cancel
печь, oven
попада́ться, every
поцелова́ть, kiss
пуга́ть, scare
сиденье, seat
выплата, payment
избежа́ть, to avoid
наибольший, most
отста́вка, resignation
перестройка, restructuring
подхва́тывать, catch
потряса́ть, shake
предоставлять, to provide
сло́вом, word
советовать, advise
сорт, grade
стеклянный, glass
трасса, track
а́нгел, angel
атомный, atomic
выбросить, throw
доложи́ть, report
лифт, Elevator
мра́чный, dark
объясня́ться, to explain
профессиона́л, professional
рекомендация, recommendation
скрыть, hide
градус, degree
запрос, request
кабина, cabin
обижа́ться, to be offended
отказать, to refuse
пове́сить, hang
посетить, visit
приобретение, purchase
разбира́ться, to understand
террори́ст, terrorist
штраф, fine
дви́нуться, to move
достаточный, sufficient
замолчать, shut up
меда́ль, medal
окружать, surround
отрицательный, negative
последовательность, the sequence
приглашение, invitation
пусть, let
уголок, area
успева́ть, time
фо́то, photo
головной, head
обрета́ть, to find
перерыв, break
подчеркивать, to emphasize
разрыв, gap
уго́дно, anything
бытовой, household
го́рький, bitter
департа́мент, Department
комментарий, comment
орудие, gun
оте́ль, hotel
переводить, translate
поле́зть, to clutch
ра́достный, happy
храни́ться, be stored
эмо́ция, emotion
аудитория, audience
жидкость, liquid
коэффициент, the coefficient
мы́шка, mouse
ножка, leg
оригинальный, original
революционный, revolutionary
спутник, satellite
типичный, typical
траги́ческий, tragic
у́тренний, morning
веревка, rope
взаимоотношения, relationships
вы́рваться, to escape
заинтересо́вывать, interest
изда́ть, to publish
помеша́ть, to prevent
посо́льство, Embassy
свободно, free
сексуальный, sexy
стару́шка, the old woman
стать, become
ступень, step
ценить, to appreciate
борода́, beard
дисциплина, discipline
заты́лок, the back of the head
неве́ста, the bride
сравни́ть, compare
факультет, faculty
группировка, grouping
дыра, hole
император, the Emperor
свеча, candle
таи́нственный, mysterious
тамо́женный, customs
тащить, drag
вероятность, the probability
плюс, plus
принципиальный, principal
совпадать, match
благодари́ть, thank
вот-во́т, now
напра́виться, to go
пообеща́ть, promise
развернуть, to deploy
снизу, bottom
уда́чный, good
чуде́сный, wonderful
блю́до, dish
грань, face
критик, critic
организа́тор, organizer
парла́мент, Parliament
посадка, landing
посуда, tableware
прозвучать, sound
проти́вный, otherwise
себя́, yourself
соглаша́ться, agree
уве́ренно, confidently
ца́рство, Kingdom
э́кспорт, export
боеви́к, action
вредный, harmful
достава́ть, to get
зарегистрировать, to register
книжный, book
начальный, initial
неприя́тность, trouble
обмануть, cheat
обнима́ть, hug
огля́дываться, look
опаса́ться, fear
портфе́ль, portfolio
почетный, honorary
прави́тельственный, government
сменить, to change
во́инский, military
дурно́й, bad
кожаный, leather
конкуренция, competition
перспективный, promising
рассуждать, reason
сторонник, supporter
супру́г, spouse
украсть, steal
целиком, entirely
вообще-то, actually
заявлять, to say
ошиби́ться, wrong
персонал, staff
повысить, to increase
показание, reading
по-ру́сски, Russian
поручить, charging
посла́ние, message
предоставле́ние, providing
профиль, profile
уче́бник, tutorial
ближний, middle
выгодный, best
заполнить, fill
игру́шка, toy
критический, critical
крышка, cover
наступление, offensive
опуститься, fall
оформление, design
развести, dilute
экспериментальный, experimental
запла́кать, cry
заслу́живать, to earn
засыпать, to fall asleep
наряду́, along
недоста́точно, not enough
понеде́льник, Monday
премье́ра, premiere
преодолеть, to overcome
телеграмма, telegram
труди́ться, to work
эх, Oh
высказывание, statement
конкурент, competitor
официа́льно, officially
пес, dog
подряд, in a row
пожалеть, sorry
скала, rock
торже́ственный, solemn
FALSE, FALSE
грузови́к, truck
гру́стный, sad
комплексный, comprehensive
лечи́ть, to treat
неплохо́й, good
перечень, list
ритм, rhythm
такси, taxi
улучшение, improvement
фило́соф, philosopher
валя́ться, lying
во́ин, warrior
жара́, heat
зараба́тывать, to earn
олига́рх, oligarch
охватить, cover
предусма́тривать, to provide
строчка, line
фрагмент, fragment
бюро, Bureau
выража́ться, to say
доходи́ть, go
жа́лкий, pathetic
обижа́ться, to offend
обойти, to circumvent
посторонний, stranger
проспе́кт, Avenue
самоуправление, government
сбо́рная, team
слома́ть, to break
тогда́шний, then
вытянуть, pulling
дава́ться, given
зерно, grain
ледяной, ice
отверну́ться, to turn
платеж, payment
потребление, consumption
проща́ть, to forgive
ру́хнуть, crumble
свернуть, collapse
стесня́ться, be shy
возражать, to argue
вред, harm
выделяться, to stand out
кафедра, Department
напиток, drink
осветить, lighting
приступа́ть, to start
пробормотать, mutter
структурный, structural
яма, Yama
англича́нин, the Englishman
дли́ться, last
занятый, busy
изложить, to present
круго́м, circle
лицензия, license
обозна́чить, to designate
полюби́ть, love
пот, sweat
проиграть, play
пя́тница, Friday
распахну́ть, to open
ро́та, Rota
семейство, family
сосна, pine
убеждение, belief
фо́рум, forum
шампа́нское, champagne
могу́чий, mighty
оттенок, shade
провожа́ть, escort
реагировать, to respond
рисковать, risk
устро́иться, to get
грома́дный, huge
подобно, like
пусты́ня, desert
сборник, collection
сло́вно, like
ста́линский, Stalin
увеличиться, to increase
военнослу́жащий, soldier
кончить, cum
надо́лго, for a long time
объявление, ad
поза, pose
сельскохозяйственный, agricultural
столкну́ться, to face
блеск, Shine
засну́ть, to sleep
папка, folder
размышление, reflection
регулярно, regularly
своди́ть, to reduce
смешно́, funny
совреме́нник, contemporary
авария, accident
отправля́ться, go
прогу́лка, walk
сбива́ть, knock
секс, sex
сла́вный, nice
среднее, average
степь, steppe
бизнесмен, businessman
брита́нский, British
ду́ра, fool
ковер, carpet
кончаться, end
креди́тный, credit
любопы́тный, curious
нарушать, to break
пламя, flame
реа́льно, really
ста́рость, old age
стрельба, shooting
верх, top
внедрение, introduction
вступление, introduction
выпада́ть, fall
добиваться, to achieve
накану́не, on the eve of
оптимальный, optimal
предупреждать, to prevent
прервать, interrupt
районный, district
ра́на, wound
стандартный, standard
сче́сть, find
треть, the third
ус, us
флаг, flag
чистота, purity
варить, cook
крепость, fortress
не́которые, some
полете́ть, fly
призыва́ть, call
психо́лог, psychologist
расположение, location
фаза, phase
чуть-чу́ть, a little bit
вы́браться, to get
выделять, select
намного, much
недалеко́, close
нема́лый, considerable
охо́тно, willingly
расстре́ливать, shoot
совместно, together
асфальт, asphalt
бессмысленный, pointless
валю́та, currency
натуральный, natural
негативный, negative
открове́нно, frankly
палатка, tent
перевозка, transportation
плоский, flat
разгляде́ть, to see
стойка, hour
успока́ивать, to calm
холодильник, refrigerator
ветера́н, veteran
вор, thief
выделение, selection
где́-нибудь, somewhere
ки́нуться, rush
листо́к, sheet
переставать, to stop
пре́док, ancestor
расследование, investigation
решетка, grill
сиби́рский, Siberian
скамейка, bench
слабо, poorly
торжество́, celebration
экспертиза, examination
боковой, side
делега́ция, the delegation
доро́жный, road
миф, myth
соблюде́ние, compliance
ступенька, step
турнир, tournament
формироваться, to form
щель, crack
гнев, anger
загля́дывать, look
заду́мываться, think
командовать, to command
льго́та, promotion
математический, mathematical
менеджер, Manager
мыть, wash
немно́го, a little
отобрать, select
предположение, the assumption
сло́жно, hard
хохота́ть, to laugh
батарея, battery
идеологи́ческий, ideological
контекст, context
незако́нный, illegal
познание, knowledge
скры́ться, hide
авиационный, aviation
вида́ть, see
выжить, to survive
выносить, make
железо, iron
заодно́, at the same time
записывать, record
избира́тель, voter
не́куда, nowhere
переби́ть, to kill
программный, software
рейтинг, rating
самарский, Samara
скважина, well
специальность, specialty
тронуть, to touch
аргумент, the argument
дверца, the door
огонек, light
прогресс, progress
строитель, Builder
уго́дно, anything
шестьдеся́т, sixty
базовый, basic
биологический, biological
ген, gene
гениа́льный, brilliant
дереве́нский, village
зага́дочный, mysterious
певе́ц, singer
пря́таться, hide
размышля́ть, to think
ремень, strap
соперник, rival
соседка, neighbor
гро́зный, terrible
за́втрак, Breakfast
отча́сти, partly
подозре́ние, suspicion
проклятый, damn
располагать, positioning
ружье, gun
сле́дом, after
стреми́тельно, rapidly
балко́н, balcony
волше́бный, magic
заслуга, merit
зачасту́ю, often
изготовление, manufacturer
контора, office
ломать, breaking
огород, the garden
подводный, underwater
приложение, application
рва́ться, tear
речка, river
социали́зм, socialism
сырой, raw
террори́зм, terrorism
уничтожение, destruction
э́ра, era
беспоко́иться, to worry
зака́нчиваться, end
оформить, to make
первичный, primary
предстоя́щий, upcoming
трамвай, tram
фина́л, the final
шепта́ть, whisper
восьмо́й, eighth
га́лстук, tie
колбаса́, sausage
математика, mathematics
минова́ть, pass
независимость, independence
нелепый, ridiculous
патриа́рх, the Patriarch
разделять, divide
реконструкция, reconstruction
сформулировать, to formulate
набережная, quay
наполнить, fill
недово́льный, dissatisfied
недра, the subsoil
пережива́ние, experience
поздравлять, to congratulate
покидать, to leave
баланс, balance
блесте́ть, Shine
вносить, to make
де́вка, girl
зна́мя, banner
коснуться, touch
медици́на, medicine
осе́нний, autumn
отчетливо, clearly
потре́боваться, be required
пушкинский, Pushkin
ужасно, awful
юбиле́й, anniversary
вложить, to invest
греческий, Greek
заду́мчивый, thoughtfully
кирпич, brick
несча́стье, misfortune
плащ, cloak
понести́, to incur
по́хороны, funeral
прошептать, to whisper
рассмея́ться, laugh
рюмка, glass
совершенствование, improvement
соли́дный, solid
твори́ть, to do
энергетический, energy
я́рко, bright
всеми́рный, world
исход, the outcome
контрольный, control
ликвидация, liquidation
оболочка, shell
о́бщее, total
планироваться, planned
поступление, admission
поэти́ческий, poetic
симпати́чный, cute
усталость, fatigue
уступать, to give
шко́льник, schoolboy
аренда, rent
ежедне́вно, daily
комбинат, plant
мале́йший, the slightest
местность, the area
нападе́ние, attack
обсудить, discuss
оторва́ть, tear
специфический, specific
убежа́ть, to escape
биогра́фия, biography
бурный, rapid
добавлять, add
допро́с, interrogation
звено, link
лише́ние, deprivation
модернизация, modernization
подели́ться, share
потянуться, stretch
футбо́л, football
весе́нний, spring
выслу́шивать, to listen
грипп, flu
коммунальный, utility
набирать, dial
отрезать, cut
роско́шный, luxury
территориа́льный, territorial
удо́бно, conveniently
заботиться, take care
запрет, ban
командиро́вка, trip
неизбе́жный, inevitable
обще́ственность, the public
почита́ть, read
протест, protest
суп, soup
а́вторский, copyright
вводить, to enter
ка́ша, porridge
командование, command
му́ха, fly
педаго́г, teacher
пожелать, to wish
посещать, visit
потяну́ть, pull
походи́ть, like
прижать, press
прислу́шиваться, to listen
совершенный, perfect
торговать, trade
виде́ние, vision
гарантировать, to ensure
избавля́ться, to get rid of
интона́ция, intonation
напряженный, busy
общежи́тие, hostel
печка, stove
рассуждение, reasoning
рожда́ться, born
семинар, seminar
собственник, owner
спектр, range
турист, tourist
шепот, whisper
возрасти, increase
молния, zip
ограничить, limit
охотник, hunter
пилот, pilot
плоть, flesh
предлагаться, be offered
предъявля́ть, to present
прятать, hide
семя, seed
завершение, completion
композиция, composition
краткий, brief
крутить, twist
не́жели, than
норма́льно, normally
пра́здничный, holiday
разобра́ть, to disassemble
ра́нить, to hurt
саме́ц, male
фракция, fraction
че́реп, skull
дружи́ть, be friends
неоднокра́тно, repeatedly
подача, submission
по-друго́му, differently
подходящий, suitable
разрушение, destruction
расстава́ться, to leave
уста́виться, to stare
бочка, barrel
гараж, garage
заку́ривать, smoke
коммуни́зм, communism
неправильный, wrong
носитель, media
обсужда́ться, discussed
погля́дывать, glance
подтверждение, confirmation
совокупность, set
тренировка, training
алгоритм, the algorithm
глазок, peephole
дожида́ться, wait
кива́ть, nod
корпорация, Corporation
наси́лие, violence
прези́диум, the Presidium of the
принадлежность, accessory
провод, wire
сбросить, reset
усну́ть, to sleep
близость, proximity
возрождение, revival
заключенный, prisoner
кру́жка, mug
мяч, the ball
неве́домый, unknown
рефере́ндум, the referendum
сни́ться, to dream
сосуд, the vessel
спа́льня, bedroom
бесплатный, free
бормота́ть, mumble
диск, disk
му́дрый, wise
перее́хать, to move
послышаться, to poslyshatsya
поэ́ма, poem
принципиа́льно, fundamentally
противоречить, contrary to
размещение, accommodation
расширить, to expand
свойственный, typical
силовой, power
склон, the slope
уточнить, to clarify
ю́бка, skirt
акце́нт, accent
ва́нная, bathroom
вку́сный, delicious
инвали́д, disabled
лавка, shop
механический, mechanical
му́чить, torment
ограниченный, limited
пар, pairs
платформа, platform
снима́ться, removed
три́ста, three hundred
уверя́ть, to assure
фина́нсы, Finance
цепочка, chain
бокал, glass
броса́ться, rush
грустно, sad
де́скать, they say
жу́ткий, creepy
кисть, brush
отложить, to postpone
отмеча́ться, mark
подборо́док, chin
разбудить, Wake
распространяться, spread
бар, bar
вопреки́, contrary
голосова́ние, voting
идиот, idiot
инфекция, infection
килогра́мм, kg
койка, bed
облегчение, relief
петербу́ргский, Petersburg
привлечение, attraction
рай, Paradise
смелый, bold
трибуна, tribune
тя́жкий, grave
уде́рживаться, to keep
жа́ркий, hot
заявка, application
медленный, slow
обы́чай, custom
пострада́ть, to suffer
резерв, reserve
сократить, to reduce
тесно, closely
точно, exactly
тур, tour
якорь, anchor
диплом, diploma
дрова, firewood
живопись, painting
краси́во, beautifully
ошибаться, wrong
продава́ться, sold
проща́ться, to say goodbye
тако́й-то, this
учительница, teacher
ядро, the core
ворот, gate
годово́й, annual
загадка, mystery
заметка, note
недо́лго, long
неподалеку, close to
окошко, window
опора, bearing
приватиза́ция, privatization
просыпаться, Wake up
сме́ть, dare
сорва́ть, rip
универсальный, universal
учеба, studies
Христо́в, Christ
шине́ль, overcoat
запереть, lock
исключать, to exclude
конструктор, designer
личной, personal
наме́тить, outline
но́готь, nail
предупреждение, warning
преподо́бный, monk
приложить, to make
сохраняться, saved
форма́льный, formal
вы́ехать, go
годи́ться, fit
зали́ть, pour
коричневый, brown
крова́вый, bloody
либера́льный, liberal
наи́вный, naive
национа́льность, nationality
оте́чество, homeland
топор, axe
фи́зик, physicist
филиал, branch
баро́н, Baron
влады́ка, Bishop
диаметр, diameter
жирный, fatty
застать, to find
конве́рт, envelope
митрополи́т, Metropolitan
одобрить, to approve
осознать, to realize
пляж, the beach
покрытие, floor
светиться, glow
сне́жный, snow
спортсме́н, athlete
тест, test
уса́живаться, set
эмоциона́льный, emotional
барак, Barack
болото, swamp
девя́тый, the ninth
десятый, tenth
ева́нгелие, the gospel
и́скренний, sincere
ку́кла, doll
отпускать, release
поправля́ть, to improve
прекращение, termination
се́мьдесят, seventy
совершение, commit
старшина, officers
устана́вливаться, be installed
эволюция, evolution
выводить, output
герма́нский, German
жени́х, the groom
заду́мываться, to conceive
исключительно, exclusively
ло́зунг, the slogan
носок, sock
охранять, to protect
патрон, Chuck
поруче́ние, order
сыворотка, serum
медный, copper
неудача, failure
оди́ннадцать, eleven
отнять, take
пе́рмский, Perm
послужи́ть, to serve
продемонстри́ровать, to demonstrate
рассве́т, dawn
сволочь, bastard
стабильность, stability
телевизионный, television
эфир, the ether
всю́ду, everywhere
мело́дия, melody
обувь, shoes
по-сво́ему, in its own way
преследовать, chase
приве́тствовать, welcome
ри́мский, Roman
секретный, secret
сталкиваться, to face
ширина, width
благоприятный, favorable
гастро́ль, tour
ежего́дно, annually
за́ново, again
намек, hint
первоначальный, initial
поместить, place
раб, slave
раздражение, irritation
ра́неный, wounded
внима́тельный, attentive
запустить, run
котел, boiler
кремлевский, the Kremlin
мастерство, skills
освоение, mastering
полнота, weight
принц, Prince
присущий, inherent
пруд, pond
развернуться, turn around
стальной, steel
колебание, oscillation
ловко, deftly
рядово́й, member
снаряд, the projectile
сформировать, to form
давить, pressure
зелень, greens
индивид, individual
лук, bow
не́когда, once
оправдать, to justify
печатать, print
подчиняться, to obey
популя́рность, popularity
