и, and
отдых, the rest
отпустить, release
ручка, handle
заговорить, speak
металл, metal
внести, to make
зря, in vain
молоко, milk
прокурор, the Prosecutor
транспорт, transport
устраивать, to arrange
поэзия, poetry
соединение, connection
выясниться, to find
догадаться, guess
краска, paint
привычный, the usual
расстояние, distance
глупый, stupid
изучать, study
интересовать, interested
мечта, dream
обратный, reverse
село, village
еда, food
поднимать, to raise
навстречу, meet
развиваться, to develop
транспортный, transport
зло, evil
подразделение, unit
достойный, worthy
обращать, to pay
подождать, wait
сюжет, the plot
рубеж, abroad
сигнал, the signal
атмосфера, the atmosphere
крест, cross
удобный, convenient
вес, weight
взрыв, explosion
контакт, contact
продавать, sell
сигарета, cigarette
бросать, throw
восторг, delight
золото, gold
конечный, end
крайне, extremely
поддержать, to support
почва, soil
премия, prize
чисто, pure
запретить, to prevent
король, king
подъезд, entrance
шанс, chance
автомат, machine
заказ, order
мальчишка, boy
отмечать, mark
очки, glasses
производственный, production
миг, MiG
отойти, to depart
ощущать, feel
штука, thing
фактически, actually
чтение, reading
школьный, school
поселок, the village
прибыть, to arrive
свидетель, witness
ставка, rate
больно, hurt
ныне, now
передний, front
каменный, stone
случаться, happen
сумка, bag
удивление, surprise
ценный, valuable
сойти, go
хвост, tail
песок, sand
поворот, turn
предыдущий, previous
возвращение, return
поймать, catch
солнечный, solar
жизненный, life
заключить, to conclude
мгновение, the moment
признаться, to admit
статус, status
смешной, funny
сомневаться, doubt
усмехнуться, grin
напротив, opposite
несчастный, poor
озеро, lake
арбитражный, arbitration
договориться, agree
случайный, random
строй, operation
наверняка, certainly
параметр, option
предоставить, to provide
сказка, the tale
тенденция, trend
вина, wine
дыхание, breath
обязанный, bound
версия, version
жалко, sorry
масштаб, scale
горный, mountain
столько, so much
удаваться, go
внезапно, suddenly
монастырь, the monastery
сходить, go
хозяйка, mistress
дочка, daughter
попадать, to get
пустить, let
танец, dance
увы, alas
зарубежный, foreign
указывать, to specify
эксплуатация, operation
коммунист, Communist
пенсия, pension
приятель, buddy
юный, young
положительный, positive
терпеть, to endure
девять, nine
объяснение, explanation
сдать, pass
набор, set
производитель, manufacturer
пыль, dust
философия, philosophy
вывести, display
выпускать, release
довольный, happy
спасибо, thank you
мощность, power
никуда, nowhere
обязательство, the obligation
телефонный, phone
уход, care
чего, what
горло, throat
кризис, crisis
японский, Japanese
вступить, to join
спорить, to argue
указание, specifying
указанный, specified
вытащить, pull
деловой, business
плата, fee
яблоко, Apple
победить, to win
посадить, plant
препарат, drug
хорошо, well
действительность, reality
москвич, Moskvich
обсуждать, discuss
остаток, the rest
заняться, to do
изображение, image
минимальный, minimum
сделка, the deal
сочинение, essay
активно, actively
говорят, say
переходить, go
покупатель, buyer
танк, tank
торопиться, hurry
затрата, the cost
строка, string
единица, unit
обработка, processing
чемпионат, championship
электронный, e
выиграть, to win
одинаковый, the same
лаборатория, laboratory
химический, chemical
милиционер, the policeman
надеть, wear
регистрация, registration
жаль, sorry
изделие, product
кормить, feed
молитва, prayer
там, there
погода, weather
съезд, Congress
телевидение, TV
введение, introduction
переживать, to survive
потребовать, to request
временной, time
пресса, press
цепь, chain
жалеть, pity
корреспондент, correspondent
планета, planet
сохраниться, saved
вынести, to make
минимум, at least
обсуждение, discussion
полк, regiment
еврейский, Jewish
немало, a lot
отказываться, to refuse
окружающий, surrounding
опытный, experienced
вокзал, station
гибель, death
заглянуть, look
защищать, to protect
космический, space
основать, to establish
прокуратура, the Prosecutor's office
согласие, consent
конь, horse
лишить, to deprive
меньший, less
могила, grave
непосредственно, directly
пожать, shake
сколько, how many
стенка, wall
тайный, secret
тревога, anxiety
закрытый, closed
напряжение, voltage
отличный, excellent
уезжать, to leave
логика, logic
неизвестно, unknown
приятно, nice
путем, by
распоряжение, available
воскликнуть, shout
дрожать, tremble
задание, job
ведущий, leading
кошка, cat
распределение, distribution
верно, true
сообщать, let
крепко, hard
сценарий, script
бригада, brigade
пятно, spot
гроб, the coffin
жениться, to marry
лезть, climb
ограничение, restriction
верховный, the Supreme
волноваться, worry
надпись, the inscription
поразить, hit
следовательно, therefore
термин, the term
ткань, fabric
уникальный, unique
велеть, to tell
визит, visit
каков, what
океан, ocean
убивать, kill
популярный, popular
предприниматель, entrepreneur
прибор, the device
решиться, be solved
уважение, respect
ведомство, office
добраться, to get
другое, more
задуматься, think
паспорт, passport
пауза, pause
взрослый, adult
дата, date
нуждаться, need
позвать, call
постановка, setting
поступок, act
ствол, trunk
готовность, readiness
остальное, the rest
тепло, heat
удивляться, wonder
адвокат, attorney
здравствовать, healthy
контракт, contract
передавать, pass
радио, radio
розовый, pink
скрывать, hide
академик, academician
запомнить, remember
кампания, campaign
оборот, turnover
скромный, modest
технологический, technological
агентство, Agency
зверь, beast
нация, nation
потребитель, consumer
старинный, old
банка, Bank
коробка, box
осуществление, implementation
подавать, to submit
покинуть, to leave
послушать, to listen
секрет, the secret
темп, pace
четко, clearly
метро, metro
пережить, to survive
дедушка, grandpa
инвестиция, investment
непонятный, strange
продолжить, continue
раздаться, heard
бесконечный, infinite
десятилетие, decade
независимый, independent
преимущество, the advantage
публикация, publication
стихотворение, the poem
везде, everywhere
относительно, relatively
отчет, report
пальто, coat
узел, site
нежный, gentle
обмен, currency
порода, breed
прибыль, profit
решительно, strongly
тоска, Tosca
заболевание, disease
стремление, the desire
фестиваль, festival
шкаф, wardrobe
горе, mount
забор, fence
оттого, because
вооружение, weapons
зимний, winter
мебель, furniture
мороз, frost
оказывать, to provide
превышать, to exceed
талантливый, talented
мирный, peace
перемена, change
костер, the fire
ловить, catch
марка, brand
забрать, take
протокол, Protocol
ужасный, terrible
испугаться, scared
утвердить, approve
впоследствии, later
квадратный, square
привычка, habit
применять, apply
трудность, the difficulty
убедиться, make sure
заменить, replace
грязь, dirt
матч, match
незнакомый, unknown
плод, fruit
приглашать, invite
спрос, demand
строительный, construction
крупнейший, the largest
пассажир, passenger
привлечь, to attract
стандарт, standard
финансирование, funding
мотор, motor
стадия, stage
густой, thick
действующий, current
звание, title
надежный, reliable
утверждение, approval
критерий, criterion
очевидный, obvious
пожилой, old
везти, to carry
север, North
убрать, remove
борт, Board
наказание, punishment
предположить, assume
раздел, section
аналогичный, similar
законный, legal
конституция, the Constitution
сектор, sector
склад, warehouse
сохранение, save
таковой, such
учение, teaching
карандаш, pencil
летать, to fly
мотив, motif
муниципальный, municipal
распространение, distribution
арест, arrest
знакомство, introduction
максимальный, maximum
неприятный, unpleasant
успешно, successfully
мэр, mayor
остальные, other
признавать, to recognize
символ, symbol
повести, the story
подчеркнуть, to emphasize
покрыть, cover
полномочие, the authority
предпочитать, prefer
прислать, send
уверенность, confidence
безусловно, of course
близко, close
отряд, squad
жаловаться, to complain
разведка, exploration
решаться, be solved
успокоиться, calm down
исключить, to exclude
лечение, treatment
мода, fashion
особенный, special
прозрачный, transparent
церковный, Church
громкий, loud
отсутствовать, absent
поражение, defeat
рубашка, shirt
луна, the moon
нужда, need
привет, hi
собор, Cathedral
съемка, shooting
владеть, to own
груз, cargo
подробность, detail
трагедия, tragedy
самостоятельный, independent
сзади, back
политик, policies
торчать, hang
луч, ray
спасение, salvation
экзамен, exam
внизу, below
добыча, production
проявление, manifestation
пуля, bullet
жест, gesture
постараться, try
соединить, to connect
убедить, to convince
электрический, electric
задавать, set
свидетельство, testimony
заложить, lay
нервный, nervous
отлично, well
ассоциация, Association
салон, beauty
заметный, notable
корова, cow
молчание, silence
отпуск, vacation
питание, food
реализовать, implement
девчонка, girl
капля, drop
важнейший, the most important
выяснить, find out
стратегический, strategic
исполнять, to fulfill
общаться, to communicate
одинокий, lonely
повернуть, turn
бюджетный, budget
останавливаться, stop
дар, gift
поставка, delivery
оркестр, orchestra
совершать, to make
воевать, to fight
выдавать, issue
задать, set
ненавидеть, hate
родить, bear
интервью, interview
критика, criticism
наступать, step
двенадцать, twelve
миллиард, billion
ответственный, responsible
спасибо, thank you
выявить, to identify
пожар, fire
предупредить, to prevent
рыночный, market
набрать, dial
предназначить, intend
тщательно, carefully
холод, cold
шар, ball
компонент, component
статистика, statistics
тетка, aunt
уничтожить, destroy
учесть, to consider
цикл, cycle
чрезвычайно, extremely
освободить, release
отнюдь, does
стыдно, shame
эпизод, episode
якобы, allegedly
взрослый, adult
воспринимать, to perceive
крутой, cool
обида, resentment
обслуживание, service
потенциал, potential
прекратить, stop
противоположный, the opposite
ненависть, hatred
нередко, often
персонаж, adult
руль, the wheel
совещание, meeting
увеличить, to increase
наблюдаться, be
непременно, certainly
объединить, combine
подозревать, to suspect
религия, religion
рыжий, red
справиться, to cope
съесть, eat
текущий, current
вестись, be
молодость, youth
отнести, include
различие, the difference
упомянуть, to mention
ядерный, nuclear
вклад, contribution
карьера, career
кладбище, cemetery
облако, cloud
обыкновенный, ordinary
гонка, race
отдыхать, relax
отчего, why
проверять, check
рукав, sleeve
сокращение, reduction
туман, fog
шофер, driver
бандит, bandit
врать, to lie
подлинный, genuine
чемодан, suitcase
атака, attack
вынужденный, forced
заработать, earn
превращаться, developing
роза, rose
указ, the decree
восстановление, recovery
грубый, rough
сложность, the complexity
создаваться, created
игрок, player
плыть, sail
побывать, visit
построение, building
продолжение, continued
скандал, scandal
труп, the corpse
кое-что, something
металлический, metal
происхождение, origin
путешествие, the journey
справедливость, justice
тонна, ton
абсолютный, absolute
гарантия, warranty
мгновенно, instantly
вождь, the leader
месторождение, field
мина, Mina
орден, order
пластинка, vinyl
рассматриваться, be considered
уважать, respect
выскочить, jump
крестьянин, farmer
образоваться, to form
проговорить, speak
хранить, store
юноша, the young man
бабка, grandma
вызов, call
издательство, publisher
существенно, significantly
интеллектуальный, intellectual
полка, regiment
статистический, statistical
шестой, sixth
дитя, child
необычный, unusual
обрадоваться, rejoice
покупка, buying
пропустить, skip
ровно, exactly
танцевать, dance
бровь, eyebrow
доверие, trust
дождаться, wait
избрать, to elect
колонна, column
недавний, recent
падение, fall
рекламный, advertising
стратегия, strategy
боец, fighter
завести, make
захватить, grab
оглянуться, look
описывать, describe
сунуть, to put
интернет, Internet
исчезать, disappear
разделить, divide
складываться, be
ведение, maintenance
тарелка, plate
удача, good luck
деятель, figure
иначе, otherwise
последовать, to follow
служебный, service
выстрел, shot
отражать, to reflect
полгода, six months
куртка, jacket
письменный, written
приближаться, closer
флот, fleet
бытие, Genesis
вступать, to join
единство, unity
итальянский, Italian
надоесть, bored
оператор, the operator
половой, sex
физика, physics
интересоваться, interested
мышление, thinking
подлежать, subject
приход, parish
произносить, to say
раскрыть, to disclose
твердо, firmly
шеф, chef
арестовать, arrest
глухой, deaf
одиночество, loneliness
предварительный, preliminary
целовать, kiss
чеченский, Chechen
экологический, environmental
длительный, long
кой, coy
орать, yell
отвести, take
тянуться, to reach
шапка, hat
достаться, get
ложка, spoon
подпись, signature
полагаться, to rely
страховой, insurance
актриса, actress
внутри, inside
всеобщий, universal
демократический, democratic
когда-нибудь, ever
колхоз, the farm
куча, heap
открываться, open
прогноз, forecast
сохранять, save
цивилизация, civilization
белок, protein
вернее, rather
воспользоваться, use
заметно, significantly
кот, cat
остановка, stop
платок, scarf
радостно, happily
ага, yeah
локоть, elbow
махнуть, wave
методика, methodology
мука, flour
яйцо, egg
голод, hunger
душевный, mental
жалоба, the complaint
концентрация, concentration
музыкант, musician
нигде, nowhere
охота, hunting
приобретать, buy
сложить, fold
вскочить, jump
выражать, to Express
повесть, the story
понадобиться, need
глупость, stupidity
картошка, potatoes
переулок, lane
печальный, sad
поглядеть, look
сделаться, to become
домик, house
замуж, married
исполнитель, the contractor
поинтересоваться, ask
страдание, suffering
ветка, branch
заказчик, the customer
лапа, paw
пенсионный, pension
признаваться, to admit
священник, the priest
восприятие, perception
высказать, to Express
дважды, twice
заведение, institution
лекарство, medicine
мелочь, detail
объективный, objective
пища, food
свадьба, wedding
ложиться, go
подушка, pillow
проявить, to show
справка, help
спуститься, down
теоретический, theoretical
тьма, darkness
юг, South
башня, tower
влиять, influence
довести, bring
нету, nope
обвинение, the prosecution
соль, salt
тариф, rate
умение, the ability
содержаться, to contain
агент, agent
гений, genius
иск, the claim
лекция, lecture
моральный, moral
нагрузка, load
намерение, the intention
подтверждать, to confirm
хранение, storage
ботинок, shoes
защитить, to protect
инвестиционный, investment
исполнить, to fulfill
подвиг, feat
воскресенье, Sunday
чей-то, someone
заплатить, to pay
земельный, land
молодец, well done
управлять, to manage
авиация, aviation
дневник, diary
летчик, pilot
невероятный, incredible
одеяло, blanket
спрятать, hide
вертолет, helicopter
вправе, right
законодательный, legislative
привлекать, to attract
приговор, the sentence
протяжение, during
вечерний, evening
внук, grandson
идеальный, perfect
исследовать, explore
непосредственный, direct
президентский, presidential
сочетание, the combination of
столичный, capital
хозяйственный, economic
баня, bath
демократия, democracy
нанести, apply
приготовить, cook
прыгать, jump
вовремя, time
диалог, dialogue
сладкий, sweet
водный, water
вынудить, to force
гриб, mushroom
пояснить, to clarify
расширение, extension
волнение, excitement
доступный, available
контролировать, control
полиция, police
применяться, to apply
руководить, guide
строиться, built
богатство, wealth
измерение, measurement
отчаяние, despair
пиджак, jacket
рассчитать, to calculate
сахар, sugar
столетие, century
уважаемый, dear
цирк, circus
шутить, joke
банковский, banking
благо, good
молиться, pray
пользование, use
точность, accuracy
коллекция, collection
манера, manner
полчаса, half an hour
сперва, first
цветной, color
цех, shop
бумажка, paper
восстановить, to restore
вынуть, remove
жилой, residential
подъем, the rise
свидание, date
смесь, the mixture
страхование, insurance
империя, Empire
красавица, beauty
оперативный, online
отдельно, separately
христианский, Christian
разнообразный, a variety of
разум, mind
тесный, close
блестящий, brilliant
гордость, pride
динамика, dynamics
дон, don
жестокий, ill
плотный, dense
рисовать, to draw
четкий, clear
ох, Oh
подробно, detail
публичный, public
рекомендовать, recommend
седьмой, seventh
студия, Studio
двести, two hundred
плита, stove
пояс, belt
приниматься, be taken
суббота, Saturday
аэропорт, airport
брюки, pants
настаивать, to insist
рукопись, manuscript
авторитет, authority
граф, count
дорожка, track
исследователь, researcher
историк, historian
исходный, source
кафе, cafe
по-видимому, apparently
придавать, to give
социалистический, socialist
тренер, coach
глянуть, look
доставить, to deliver
замереть, freeze
мышь, mouse
оказать, to provide
окружение, environment
замечание, note
замысел, the idea
модный, fashion
мышца, muscle
продавец, sold
ровный, smooth
нравственный, moral
планировать, plan
своеобразный, original
соотношение, the ratio
успешный, successful
благородный, noble
вечно, forever
карточка, card
осуществить, to carry out
отозваться, to respond
разбить, split
разойтись, to disperse
священный, sacred
фабрика, factory
явный, explicit
мимо, by
перенести, transfer
поначалу, at first
посол, Ambassador
суровый, severe
существующий, existing
бледный, pale
всерьез, seriously
испытать, experience
катастрофа, disaster
пачка, tutu
столовая, dining room
ужин, dinner
установление, establishing
закрывать, close
окончить, to finish
оценивать, to evaluate
училище, College
шоссе, highway
акционер, shareholder
городок, town
картинка, picture
легенда, legend
ленинградский, Leningrad
соображение, consideration
сообщество, community
икона, icon
коньяк, brandy
посетитель, visitor
собеседник, interlocutor
удивительно, surprisingly
волк, wolf
сопротивление, resistance
срочно, urgently
халат, Bathrobe
вуз, University
жанр, genre
идеал, ideal
ключевой, key
неплохо, well
поправка, amendment
юность, youth
божественный, divine
лента, tape
нарушить, to break
ощутить, feel
частица, particle
бомба, bomb
композитор, composer
крыльцо, porch
научить, to teach
пациент, the patient
сок, juice
сопровождать, to accompany
тяжесть, the severity
штамм, strain
замена, replacement
искусственный, artificial
кусочек, the piece
намерен, going
однако, however,
победитель, the winner
приезд, visit
пробовать, try
стучать, knock
сумасшедший, crazy
устойчивый, sustainable
экспедиция, expedition
аспект, aspect
вчерашний, yesterday
еле, barely
интеллигенция, intellectuals
коммунистический, Communist
независимо, independently
окончательный, final
противоречие, the contradiction
взаимный, mutual
военный, military
выставить, set
напечатать, print
преступник, the offender
прикрыть, cover
пускать, let
развитой, developed
сиять, Shine
строение, structure
ущерб, damage
делиться, share
идеология, ideology
подросток, teen
правление, the Board
проживать, to live
чемпион, champion
архив, archive
вслух, aloud
дискуссия, discussion
изобразить, to portray
изучить, study
мягко, gently
немножко, a little
освобождение, release
подвести, to sum
призвать, call
производиться, be
самостоятельно, independently
сооружение, construction
достигать, to achieve
качественный, quality
копейка, penny
коротко, briefly
допускать, to prevent
нерв, nerve
посылать, send
приличный, decent
раствор, the solution
туалет, toilet
утратить, to lose
хор, chorus
анекдот, joke
захотеться, want
класть, to put
несомненно, undoubtedly
слышно, heard
сырье, raw materials
царский, Royal
численность, the number
штаны, pants
возразить, to argue
грозить, to face
железнодорожный, train
изо, from
искренне, sincerely
пленка, film
подобрать, to find
пребывание, stay
репетиция, rehearsal
образовывать, to form
отражение, reflection
предполагаться, assumed
проявлять, to show
серебряный, silver
удовлетворение, satisfaction
устанавливать, to install
экипаж, the crew
актуальный, current
водить, led
награда, award
непонятно, it is not clear
поход, hike
сплошной, solid
выдающийся, outstanding
помолчать, silence
украинский, Ukrainian
худой, thin
газовый, gas
иностранец, foreigner
морда, muzzle
перо, pen
претензия, the claim
разумный, reasonable
россиянин, Russian
должностной, official
постоять, stand
проза, prose
сдавать, pass
справа, right
четверть, quarter
архитектура, architecture
демонстрировать, to demonstrate
любопытство, curiosity
маска, mask
опера, Opera
посидеть, sit
распространить, distribute
спускаться, down
благодарность, thanks
великолепный, gorgeous
госпиталь, hospital
догадываться, guess
изображать, to portray
исключительно, exclusively
маршрут, route
незаметно, quietly
сержант, Sergeant
точно, exactly
шляпа, hat
экземпляр, instance
белье, linen
бродить, wander
ведро, bucket
возникновение, appearance
мастерская, workshop
невидимый, invisible
нормативный, regulatory
офис, office
положенный, put
по-настоящему, truly
седой, gray
слабость, weakness
ссылка, link
холодно, cold
автомобильный, car
быт, life
лампа, lamp
опираться, to rely
посоветовать, advise
разглядывать, to examine
толк, good
убийца, killer
фантазия, fantasy
вселенная, the universe
де, de
задержать, delay
любитель, Amateur
малыш, baby
нарисовать, draw
одеть, dress
повышенный, increased
призыв, call
располагаться, to be
справедливый, fair
беседовать, talk
гигантский, giant
заболеть, ill
конституционный, constitutional
облик, look
подземный, underground
превратить, to turn
преподаватель, teacher
сайт, website
слева, left
горизонт, horizon
давний, long
дивизия, division
доверять, trust
изба, hut
копия, copy
налить, pour
небесный, heavenly
отдохнуть, relax
покачать, shake
регулирование, regulation
течь, flow
вплоть, up
гнать, drive
натура, nature
нефтяной, oil
обусловить, to determine
голодный, hungry
доступ, access
законопроект, bill
избирательный, election
компьютерный, computer
подвал, basement
порт, port
связывать, link
уголь, coal
удивить, surprise
укрепление, strengthening
устав, Charter
философский, philosophical
бассейн, pool
биться, beat
двойной, double
здорово, cool
инстанция, authority
медведь, bear
нынче, now
отъезд, departure
процессуальный, procedural
тотчас, immediately
архитектор, architect
браться, take
космос, space
меч, sword
охранник, guard
присесть, Crouch
психический, mental
судно, ship
тратить, to spend
чашка, Cup
разрушить, destroy
волновать, to excite
воображение, imagination
квартал, quarter
курица, chicken
невольно, involuntarily
окружить, surround
плавать, swim
преобразование, conversion
развивать, to develop
спасать, save
топливо, fuel
элита, elite
ветвь, branch
видеться, to see
возглавлять, to lead
глобальный, global
девица, girl
инвестор, investor
инструкция, instruction
кнопка, button
обязать, to oblige
польский, Polish
потенциальный, potential
почта, mail
юмор, humor
вначале, first
гордиться, be proud of
доказывать, to prove
палка, stick
проявляться, manifest
пустота, void
сообразить, to think
фонарь, lantern
заказать, to order
коллективный, collective
наркотик, drug
премьер, Prime
трогать, touch
актив, asset
завершить, complete
пользователь, the user
посреди, in the midst of
соревнование, competition
столб, post
француз, the Frenchman
холм, hill
аккуратно, gently
большевик, Bolshevik
вдвоем, together
отменить, to cancel
печь, oven
попасться, every
поцеловать, kiss
пугать, scare
сиденье, seat
выплата, payment
избежать, to avoid
наибольший, most
отставка, resignation
перестройка, restructuring
подхватить, catch
потрясти, shake
предоставлять, to provide
словом, word
советовать, advise
сорт, grade
стеклянный, glass
трасса, track
ангел, angel
атомный, atomic
выбросить, throw
доложить, report
лифт, Elevator
мрачный, dark
объясняться, to explain
профессионал, professional
рекомендация, recommendation
скрыть, hide
градус, degree
запрос, request
кабина, cabin
обидеться, to be offended
отказать, to refuse
повесить, hang
посетить, visit
приобретение, purchase
разбираться, to understand
террорист, terrorist
штраф, fine
двинуться, to move
достаточный, sufficient
замолчать, shut up
медаль, medal
окружать, surround
отрицательный, negative
последовательность, the sequence
приглашение, invitation
пусть, let
уголок, area
успевать, time
фото, photo
головной, head
обрести, to find
перерыв, break
подчеркивать, to emphasize
разрыв, gap
угодно, anything
бытовой, household
горький, bitter
департамент, Department
комментарий, comment
орудие, gun
отель, hotel
переводить, translate
полезть, to clutch
радостный, happy
храниться, be stored
эмоция, emotion
аудитория, audience
жидкость, liquid
коэффициент, the coefficient
мышка, mouse
ножка, leg
оригинальный, original
революционный, revolutionary
спутник, satellite
типичный, typical
трагический, tragic
утренний, morning
веревка, rope
взаимоотношения, relationships
вырваться, to escape
заинтересовать, interest
издать, to publish
помешать, to prevent
посольство, Embassy
свободно, free
сексуальный, sexy
старушка, the old woman
стать, become
ступень, step
ценить, to appreciate
борода, beard
дисциплина, discipline
затылок, the back of the head
невеста, the bride
сравнить, compare
факультет, faculty
группировка, grouping
дыра, hole
император, the Emperor
свеча, candle
таинственный, mysterious
таможенный, customs
тащить, drag
вероятность, the probability
плюс, plus
принципиальный, principal
совпадать, match
благодарить, thank
вот-вот, now
направиться, to go
пообещать, promise
развернуть, to deploy
снизу, bottom
удачный, good
чудесный, wonderful
блюдо, dish
грань, face
критик, critic
организатор, organizer
парламент, Parliament
посадка, landing
посуда, tableware
прозвучать, sound
противный, otherwise
себе, yourself
соглашаться, agree
уверенно, confidently
царство, Kingdom
экспорт, export
боевик, action
вредный, harmful
доставать, to get
зарегистрировать, to register
книжный, book
начальный, initial
неприятность, trouble
обмануть, cheat
обнять, hug
оглядываться, look
опасаться, fear
портфель, portfolio
почетный, honorary
правительственный, government
сменить, to change
воинский, military
дурной, bad
кожаный, leather
конкуренция, competition
перспективный, promising
рассуждать, reason
сторонник, supporter
супруг, spouse
украсть, steal
целиком, entirely
вообще-то, actually
заявлять, to say
ошибиться, wrong
персонал, staff
повысить, to increase
показание, reading
по-русски, Russian
поручить, charging
послание, message
предоставление, providing
профиль, profile
учебник, tutorial
ближний, middle
выгодный, best
заполнить, fill
игрушка, toy
критический, critical
крышка, cover
наступление, offensive
опуститься, fall
оформление, design
развести, dilute
экспериментальный, experimental
заплакать, cry
заслужить, to earn
засыпать, to fall asleep
наряду, along
недостаточно, not enough
понедельник, Monday
премьера, premiere
преодолеть, to overcome
телеграмма, telegram
трудиться, to work
эх, Oh
высказывание, statement
конкурент, competitor
официально, officially
пес, dog
подряд, in a row
пожалеть, sorry
скала, rock
торжественный, solemn
FALSE, FALSE
грузовик, truck
грустный, sad
комплексный, comprehensive
лечить, to treat
неплохой, good
перечень, list
ритм, rhythm
такси, taxi
улучшение, improvement
философ, philosopher
валяться, lying
воин, warrior
жара, heat
зарабатывать, to earn
олигарх, oligarch
охватить, cover
предусматривать, to provide
строчка, line
фрагмент, fragment
бюро, Bureau
выражаться, to say
доходить, go
жалкий, pathetic
обидеть, to offend
обойти, to circumvent
посторонний, stranger
проспект, Avenue
самоуправление, government
сборная, team
сломать, to break
тогдашний, then
вытянуть, pulling
даваться, given
зерно, grain
ледяной, ice
отвернуться, to turn
платеж, payment
потребление, consumption
прощать, to forgive
рухнуть, crumble
свернуть, collapse
стесняться, be shy
возражать, to argue
вред, harm
выделяться, to stand out
кафедра, Department
напиток, drink
осветить, lighting
приступить, to start
пробормотать, mutter
структурный, structural
яма, Yama
англичанин, the Englishman
длиться, last
занятый, busy
изложить, to present
кругом, circle
лицензия, license
обозначить, to designate
полюбить, love
пот, sweat
проиграть, play
пятница, Friday
распахнуть, to open
рота, Rota
семейство, family
сосна, pine
убеждение, belief
форум, forum
шампанское, champagne
могучий, mighty
оттенок, shade
провожать, escort
реагировать, to respond
рисковать, risk
устроиться, to get
громадный, huge
подобно, like
пустыня, desert
сборник, collection
словно, like
сталинский, Stalin
увеличиться, to increase
военнослужащий, soldier
кончить, cum
надолго, for a long time
объявление, ad
поза, pose
сельскохозяйственный, agricultural
столкнуться, to face
блеск, Shine
заснуть, to sleep
папка, folder
размышление, reflection
регулярно, regularly
свести, to reduce
смешно, funny
современник, contemporary
авария, accident
отправляться, go
прогулка, walk
сбить, knock
секс, sex
славный, nice
среднее, average
степь, steppe
бизнесмен, businessman
британский, British
дура, fool
ковер, carpet
кончаться, end
кредитный, credit
любопытный, curious
нарушать, to break
пламя, flame
реально, really
старость, old age
стрельба, shooting
верх, top
внедрение, introduction
вступление, introduction
выпасть, fall
добиваться, to achieve
накануне, on the eve of
оптимальный, optimal
предупреждать, to prevent
прервать, interrupt
районный, district
рана, wound
стандартный, standard
счесть, find
треть, the third
ус, us
флаг, flag
чистота, purity
варить, cook
крепость, fortress
некоторые, some
полететь, fly
призывать, call
психолог, psychologist
расположение, location
фаза, phase
чуть-чуть, a little bit
выбраться, to get
выделять, select
намного, much
недалеко, close
немалый, considerable
охотно, willingly
расстрелять, shoot
совместно, together
асфальт, asphalt
бессмысленный, pointless
валюта, currency
натуральный, natural
негативный, negative
откровенно, frankly
палатка, tent
перевозка, transportation
плоский, flat
разглядеть, to see
стойка, hour
успокоить, to calm
холодильник, refrigerator
ветеран, veteran
вор, thief
выделение, selection
где-нибудь, somewhere
кинуться, rush
листок, sheet
переставать, to stop
предок, ancestor
расследование, investigation
решетка, grill
сибирский, Siberian
скамейка, bench
слабо, poorly
торжество, celebration
экспертиза, examination
боковой, side
делегация, the delegation
дорожный, road
миф, myth
соблюдение, compliance
ступенька, step
турнир, tournament
формироваться, to form
щель, crack
гнев, anger
заглядывать, look
задумываться, think
командовать, to command
льгота, promotion
математический, mathematical
менеджер, Manager
мыть, wash
немного, a little
отобрать, select
предположение, the assumption
сложно, hard
хохотать, to laugh
батарея, battery
идеологический, ideological
контекст, context
незаконный, illegal
познание, knowledge
скрыться, hide
авиационный, aviation
видать, see
выжить, to survive
выносить, make
железо, iron
заодно, at the same time
записывать, record
избиратель, voter
некуда, nowhere
перебить, to kill
программный, software
рейтинг, rating
самарский, Samara
скважина, well
специальность, specialty
тронуть, to touch
аргумент, the argument
дверца, the door
огонек, light
прогресс, progress
строитель, Builder
угодно, anything
шестьдесят, sixty
базовый, basic
биологический, biological
ген, gene
гениальный, brilliant
деревенский, village
загадочный, mysterious
певец, singer
прятаться, hide
размышлять, to think
ремень, strap
соперник, rival
соседка, neighbor
грозный, terrible
завтрак, Breakfast
отчасти, partly
подозрение, suspicion
проклятый, damn
располагать, positioning
